population,msa,gender,edu,race
343933,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,BLACK OR AFRICAN AMERICAN ALONE
277419,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,BLACK OR AFRICAN AMERICAN ALONE
318048,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),BLACK OR AFRICAN AMERICAN ALONE
118969,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,BLACK OR AFRICAN AMERICAN ALONE
327314,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),BLACK OR AFRICAN AMERICAN ALONE
144588,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,BLACK OR AFRICAN AMERICAN ALONE
255929,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,BLACK OR AFRICAN AMERICAN ALONE
157582,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,HISPANIC OR LATINO
267561,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,HISPANIC OR LATINO
61697,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,HISPANIC OR LATINO
370110,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,HISPANIC OR LATINO
133602,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,HISPANIC OR LATINO
250695,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",HISPANIC OR LATINO
142980,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,TWO OR MORE RACES
229183,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,TWO OR MORE RACES
176555,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,TWO OR MORE RACES
204854,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),TWO OR MORE RACES
141869,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,TWO OR MORE RACES
196543,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),TWO OR MORE RACES
290917,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,TWO OR MORE RACES
188816,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,TWO OR MORE RACES
